分类: 📺央视频道, 名称: CCTV-1, 有效: 8, IPv4: 97, IPv6: 0, 最小延迟: 201 ms, 最高速率: 19.24 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.94, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 7, IPv4: 80, IPv6: 0, 最小延迟: 204 ms, 最高速率: 9.38 M/s, 平均速率: 2.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 7, IPv4: 77, IPv6: 0, 最小延迟: 18 ms, 最高速率: 16.84 M/s, 平均速率: 4.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.89, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 8, IPv4: 85, IPv6: 0, 最小延迟: 135 ms, 最高速率: 13.31 M/s, 平均速率: 3.37 M/s, 最高分辨率: 3840x2160, 平均帧率: 39.06, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 8, IPv4: 83, IPv6: 0, 最小延迟: 198 ms, 最高速率: 11.37 M/s, 平均速率: 3.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 8, IPv4: 71, IPv6: 0, 最小延迟: 40 ms, 最高速率: 17.00 M/s, 平均速率: 4.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.47, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 8, IPv4: 78, IPv6: 0, 最小延迟: 225 ms, 最高速率: 14.62 M/s, 平均速率: 3.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 8, IPv4: 81, IPv6: 0, 最小延迟: 231 ms, 最高速率: 6.78 M/s, 平均速率: 1.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.53, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 7, IPv4: 79, IPv6: 0, 最小延迟: 18 ms, 最高速率: 19.66 M/s, 平均速率: 5.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.21, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 8, IPv4: 77, IPv6: 0, 最小延迟: 106 ms, 最高速率: 23.75 M/s, 平均速率: 5.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 7, IPv4: 79, IPv6: 0, 最小延迟: 33 ms, 最高速率: 16.33 M/s, 平均速率: 3.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
